Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Flame Wheel,Fire,,60,100,25,,May burn opponent.,10
Flamethrower,Fire,,90,100,15,,May burn opponent.,10
Flare Blitz,Fire,,120,100,15,,User receives recoil damage. May burn opponent.,10
Flash,Normal,,—,100,20,,Lowers opponent's Accuracy.,—
Flash Cannon,Steel,,80,100,10,,May lower opponent's Special Defense.,10
Flatter,Dark,,—,100,15,,"Confuses opponent, but raises its Special Attack.",—
Fleur Cannon,Fairy,,130,90,5,,Sharply lowers user's Special Attack.,100
Fling,Dark,,—,100,10,,Power depends on held item.,—
Flip Turn,Water,,60,100,20,,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",—
Floaty Fall,Flying,,90,95,15,,May cause flinching.,30
Floral Healing,Fairy,,—,—,10,,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,—
Flower Shield,Fairy,,—,—,10,,Sharply raises Defense of all Grass-type Pokémon on the field.,100
Fly,Flying,,90,95,15,,"Flies up on first turn, attacks on second turn.",—
Flying Press,Fighting,,100,95,10,,Deals Fighting and Flying type damage.,—
Focus Blast,Fighting,,120,70,5,,May lower opponent's Special Defense.,10
Focus Energy,Normal,,—,—,30,,Increases critical hit ratio.,—
Focus Punch,Fighting,,150,100,20,,"If the user is hit before attacking, it flinches instead.",—
Follow Me,Normal,,—,—,20,,"In Double Battle, the user takes all the attacks.",—
Force Palm,Fighting,,60,100,10,,May paralyze opponent.,30
Foresight,Normal,,—,—,40,,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",—
Forest's Curse,Grass,,—,100,20,,Adds Grass type to opponent.,—
Foul Play,Dark,,95,100,15,,Uses the opponent's Attack stat.,—
Freeze Shock,Ice,,140,90,5,,"Charges on first turn, attacks on second. May paralyze opponent.",30
Freeze-Dry,Ice,,70,100,20,,May freeze opponent. Super-effective against Water types.,10
Freezing Glare,Psychic,,90,100,10,,May freeze opponent.,10
Freezy Frost,Ice,,90,100,15,,Resets all stat changes.,—
Frenzy Plant,Grass,,150,90,5,,User must recharge next turn.,—
Frost Breath,Ice,,60,90,10,,Always results in a critical hit.,100
Frustration,Normal,,—,100,20,,Power decreases with higher Friendship.,—
Fury Attack,Normal,,15,85,20,,Hits 2-5 times in one turn.,—
Fury Cutter,Bug,,40,95,20,,Power increases each turn.,—
Fury Swipes,Normal,,18,80,15,,Hits 2-5 times in one turn.,—
Fusion Bolt,Electric,,100,100,5,,Power increases if Fusion Flare is used in the same turn.,—
Fusion Flare,Fire,,100,100,5,,Power increases if Fusion Bolt is used in the same turn.,—
Future Sight,Psychic,,120,100,10,,Damage occurs 2 turns later.,—
G-Max Befuddle,Bug,—,—,∞,5,,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",100
G-Max Cannonade,Water,—,—,∞,10,,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,—
G-Max Centiferno,Fire,—,—,∞,5,,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Chi Strike,Fighting,—,—,∞,5,,Machamp-exclusive G-Max Move. Increases critical hit ratio.,—
G-Max Cuddle,Normal,—,—,∞,5,,Eevee-exclusive G-Max Move. Infatuates opponents.,100
G-Max Depletion,Dragon,—,—,∞,5,,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,—
G-Max Drum Solo,Grass,—,—,∞,5,,Rillaboom-exclusive G-Max Move. Ignores target's ability.,—
G-Max Finale,Fairy,—,—,∞,5,,Alcremie-exclusive G-Max Move. Heals the user's team.,—
G-Max Fireball,Fire,—,—,∞,5,,Cinderace-exclusive G-Max Move. Ignores target's ability.,—
G-Max Foam Burst,Water,—,—,∞,5,,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,100
G-Max Gold Rush,Normal,—,—,∞,5,,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,100
G-Max Gravitas,Psychic,—,—,∞,5,,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,—
G-Max Hydrosnipe,Water,—,—,∞,5,,Inteleon-exclusive G-Max Move. Ignores target's ability.,—
G-Max Malodor,Poison,—,—,∞,5,,Garbodor-exclusive G-Max Move. Poisons opponents.,100
G-Max Meltdown,Steel,—,—,∞,5,,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,—
G-Max One Blow,Dark,—,—,∞,5,,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,—
G-Max Rapid Flow,Water,—,—,∞,5,,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,—
G-Max Replenish,Normal,—,—,∞,5,,Snorlax-exclusive G-Max Move. Recycles Berries.,—
G-Max Resonance,Ice,—,—,∞,5,,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,—
G-Max Sandblast,Ground,—,—,∞,5,,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Smite,Fairy,—,—,∞,5,,Hatterene-exclusive G-Max Move. Confuses opponents.,100
G-Max Snooze,Dark,—,—,∞,5,,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,—
G-Max Steelsurge,Steel,—,—,∞,5,,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,—
G-Max Stonesurge,Water,—,—,∞,5,,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,—
G-Max Stun Shock,Electric,—,—,∞,10,,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
G-Max Sweetness,Grass,—,—,∞,10,,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,—
G-Max Tartness,Grass,—,—,∞,10,,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
G-Max Terror,Ghost,—,—,∞,10,,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,—
G-Max Vine Lash,Grass,—,—,∞,10,,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,—
G-Max Volcalith,Rock,—,—,∞,10,,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
G-Max Volt Crash,Electric,—,—,∞,10,,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
G-Max Wildfire,Fire,—,—,∞,10,,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
G-Max Wind Rage,Flying,—,—,∞,10,,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,—
Gastro Acid,Poison,,—,100,10,,Cancels out the effect of the opponent's Ability.,—
Gear Grind,Steel,,50,85,15,,Hits twice in one turn.,—
Gear Up,Steel,,—,—,20,,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,—
Genesis Supernova,Psychic,,185,—,1,,Mew-exclusive Z-Move.,—
Geomancy,Fairy,,—,—,10,,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",—
Giga Drain,Grass,,75,100,10,,User recovers half the HP inflicted on opponent.,—
Giga Impact,Normal,,150,90,5,,User must recharge next turn.,—
Gigavolt Havoc,Electric,—,—,—,1,,Electric type Z-Move.,—
Glacial Lance,Ice,,130,100,5,,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,—
Glaciate,Ice,,65,95,10,,Lowers opponent's Speed.,100
Glare,Normal,,—,100,30,,Paralyzes opponent.,—
Glitzy Glow,Psychic,,90,100,15,,Reduces damage from Special attacks.,—
Grass Knot,Grass,,—,100,20,,"The heavier the opponent, the stronger the attack.",—
Grass Pledge,Grass,,80,100,10,,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,—
Grass Whistle,Grass,,—,55,15,,Puts opponent to sleep.,—
Grassy Glide,Grass,,70,100,20,,High priority during Grassy Terrain.,—
Grassy Terrain,Grass,,—,—,10,,Restores a little HP of all Pokémon for 5 turns.,—
Grav Apple,Grass,,80,100,10,,Lowers the opponent's Defense stat.,100
Gravity,Psychic,,—,—,5,,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,—
Growl,Normal,,—,100,40,,Lowers opponent's Attack.,—
Growth,Normal,,—,—,20,,Raises user's Attack and Special Attack.,—
Grudge,Ghost,,—,—,5,,"If the users faints after using this move, the PP for the opponent's last move is depleted.",—
Guard Split,Psychic,,—,—,10,,Averages Defense and Special Defense with the target.,—
Guard Swap,Psychic,,—,—,10,,User and opponent swap Defense and Special Defense.,—
Guardian of Alola,Fairy,,—,—,1,,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,—
Guillotine,Normal,,—,30,5,,"One-Hit-KO, if it hits.",—
Gunk Shot,Poison,,120,80,5,,May poison opponent.,30
Gust,Flying,,40,100,35,,Hits Pokémon using Fly/Bounce with double power.,—
Gyro Ball,Steel,,—,100,5,,"The slower the user, the stronger the attack.",—
Hail,Ice,,—,—,10,,Non-Ice types are damaged for 5 turns.,—
Hammer Arm,Fighting,,100,90,10,,Lowers user's Speed.,100
Happy Hour,Normal,,—,—,30,,Doubles prize money from trainer battles.,—
Harden,Normal,,—,—,30,,Raises user's Defense.,—
Haze,Ice,,—,—,30,,Resets all stat changes.,—
Head Charge,Normal,,120,100,15,,User receives recoil damage.,—
Head Smash,Rock,,150,80,5,,User receives recoil damage.,—
Headbutt,Normal,,70,100,15,,May cause flinching.,30
Headlong Rush,Ground,,100,100,5,,Lowers user's Defense.,—
Heal Bell,Normal,,—,—,5,,Heals the user's party's status conditions.,—
Heal Block,Psychic,,—,100,15,,Prevents the opponent from restoring HP for 5 turns.,—
Heal Order,Bug,,—,—,10,,User recovers half its max HP.,—
Heal Pulse,Psychic,,—,—,10,,Restores half the target's max HP.,—
Healing Wish,Psychic,,—,—,10,,The user faints and the next Pokémon released is fully healed.,—
Heart Stamp,Psychic,,60,100,25,,May cause flinching.,30
Heart Swap,Psychic,,—,—,10,,Stat changes are swapped with the opponent.,—
Heat Crash,Fire,,—,100,10,,"The heavier the user, the stronger the attack.",—
Heat Wave,Fire,,95,90,10,,May burn opponent.,10
Heavy Slam,Steel,,—,100,10,,"The heavier the user, the stronger the attack.",—
Helping Hand,Normal,,—,—,20,,"In Double Battles, boosts the power of the partner's move.",—
Hex,Ghost,,65,100,10,,Inflicts more damage if the target has a status condition.,—
